"ppe_number","ppe_address","school_inn"
177,"301666, Тульская обл., Новомосковский район, г. Новомосковск, ул. Проспект Победы, д. 4","7116031770"
178,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Московская, д. 9","7116001239"
183,"301602, Тульская обл., г. Узловая, ул. 14 Декабря, д. 32","7117010412"
184,"301607, Тульская обл., Узловский район, г. Узловая, ул. Смоленского, д. 3","7117010437"
185,"301607, Тульская обл., Узловский район, г. Узловая, ул. Завенягина, д. 32","7117001538"
186,"301632, Тульская обл., Узловский район, п. Дубовка, ул. Пионерская, д. 30","7117010395"
188,"301245, Тульская обл., Щекинский район, г. Щекино, ул. Пролетарская, д. 10","7118014593"
189,"301241, Тульская обл., Щекинский район, г. Щекино, ул. Пионерская, д. 5","7118002380"
190,"301246, Тульская обл., Щекинский район, г. Щекино, ул. Юбилейная, д. 1","7118014554"
191,"301248, Тульская обл., Щекинский район, г. Щекино, ул. Л.Толстого, д. 49","7118014473"
193,"300026, Тульская обл., г. Тула, ул. Николая Руднева, д. 62","7107060446"
194,"300026, Тульская обл., г. Тула, ул. Шевченко, д. 21","7107110129"
195,"300045, Тульская обл., г. Тула, п.Осиновая гора, мкр-н Левобережный, ул. Героя России Макаровца, д. 1","7107061104"
197,"300911, Тульская обл., г. Тула, ул. Скуратовский микрорайон, д. 10","7107109780"
198,"300041, Тульская обл., г. Тула, ул. Сойфера, д. 8","7106034997"
199,"300041, Тульская обл., г. Тула, ул. Демонстрации, д. 6","7106034980"
200,"300045, Тульская обл., г. Тула, ул. Фрунзе, д. 18","7106034468"
201,"300028, Тульская обл., г. Тула, ул. Ф.Энгельса, д. 68","7106034637"
202,"300010, Тульская обл., г. Тула, ул. Кутузова, д. 112","7105044696"
203,"300001, Тульская обл., г. Тула, ул. Калинина, д. 7","7105025566"
204,"300001, Тульская обл., г. Тула, ул. Вильямса, д. 10","7105044382"
205,"300031, Тульская обл., г. Тула, ул. 1 проезд Металлургов, д. 7","7105025647"
206,"300004, Тульская обл., г. Тула, ул. Кирова, д. 186","7105025414"
208,"300028, Тульская обл., г. Тула, ул. Серебровская, д. 32","7104069673"
209,"300036, Тульская обл., г. Тула, ул. Кабакова, д. 92","7104032909"
210,"300903, Тульская обл., п. Косая гора, ул. М.Горького, д. 40","7104069730"
212,"300044, Тульская обл., г. Тула, ул. Галкина, д. 29","7103045503"
213,"300062, Тульская обл., г. Тула, ул. Литейная, д. 25","7103045920"
214,"300002, Тульская обл., г. Тула, ул. Октябрьская, д. 199","7103045567"
215,"300057, Тульская обл., г. Тула, ул. Герцена, д. 50","7103045888"
216,"300044, Тульская обл., г. Тула, ул. М.Горького, д. 41","7103020788"
223,"301761, Тульская обл., г. Донской, ул. 30 лет Победы, д. 15","7114007228"
225,"301840, Тульская обл., Ефремовский район, г. Ефремов, ул. Карла Маркса, д. 41","7113009984"
230,"301823, Тульская обл., Богородицкий район, п. Товарковский, пр-д Третий, д. 2А","7112006162"
233,"301247, Тульская обл., г. Щекино, ул. Лукашина, д. 2в","7118014547"
236,"301601, Тульская обл., г. Узловая, ул. Трудовые резервы, д. 7","7117010282"
237,"301650, Тульская обл., г. Новомосковск, ул. Трудовые резервы, д. 21","7116032607"
240,"300011, Тульская обл., г. Тула, ул. пос. Озерный, д. -","7107060277"
280,"301361, Тульская обл., г. Алексин, ул. Горького, д. 21","7111007928"
281,"301000, Тульская обл., Заокский район, п. Заокский, ул. Гагарина, д. 1 б","7126025253"
282,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Пионерская, д. 12","7116030381"
283,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Присягина, д. 1/5","7116031089"
284,"300600, Тульская обл., г. Тула, ул. Бундурина, д. 56","7106015666"
285,"300045, Тульская обл., г. Тула, ул. Некрасова, д. 8","7105012905"
300,"301781, Тульская обл., г. Донской,микрорайон Комсомольский, пр-д Димитрова, д. 1","7107060277"
301,"301782, Тульская обл., г. Донской, мкр.Шахтерский, ул. Луговая, д. 1-а","7107060277"
303,"301472, Тульская обл., Плавский район, п. Белая Гора","7107060277"
304,"300012, Тульская обл., г. Тула, ул. Мориса Тореза, д. 11 а","7107060277"
305,"301654, Тульская обл., Новомосковский район, г. Новомосковск, ул. Центральная, д. 27","7107060277"
306,"300012, Тульская обл., г. Тула, ул. Мориса Тореза, д. 11 б","7107060277"
307,"301363, Тульская обл., Щекинский район, п. Первомайский, ул. Пролетарская, д. 5","7118008960"
372,"300012, Тульская обл., г. Тула, ул. Мориса Тореза, д. 11 а","7107060277"
